gene_id	gene_name	transcript_id	sample	TPM	treat	batch	time_point
ENSMUSG00000039201	Tbc1d25	ENSMUST00000133093	LM411_R2_t1	1.7	LM411	R2	t1
ENSMUSG00000039201	Tbc1d25	ENSMUST00000143984	LM411_R2_t1	0.22	LM411	R2	t1
ENSMUSG00000039201	Tbc1d25	ENSMUST00000172020	LM411_R2_t1	0.55	LM411	R2	t1
ENSMUSG00000039201	Tbc1d25	ENSMUST00000239441	LM411_R2_t1	3.17	LM411	R2	t1
ENSMUSG00000039431	Mtmr7	ENSMUST00000048898	LM411_R2_t1	2.05	LM411	R2	t1
ENSMUSG00000039431	Mtmr7	ENSMUST00000174205	LM411_R2_t1	0.22	LM411	R2	t1
ENSMUSG00000040433	Zbtb38	ENSMUST00000093798	LM411_R2_t1	1.1	LM411	R2	t1
ENSMUSG00000040433	Zbtb38	ENSMUST00000152594	LM411_R2_t1	3.48	LM411	R2	t1
ENSMUSG00000040813	Tex264	ENSMUST00000046735	LM411_R2_t1	10.74	LM411	R2	t1
ENSMUSG00000040813	Tex264	ENSMUST00000163441	LM411_R2_t1	16.68	LM411	R2	t1
ENSMUSG00000040813	Tex264	ENSMUST00000169068	LM411_R2_t1	26.97	LM411	R2	t1
ENSMUSG00000041408	Wapl	ENSMUST00000048263	LM411_R2_t1	24.55	LM411	R2	t1
ENSMUSG00000041408	Wapl	ENSMUST00000090027	LM411_R2_t1	17.37	LM411	R2	t1
ENSMUSG00000041408	Wapl	ENSMUST00000111895	LM411_R2_t1	7.94	LM411	R2	t1
ENSMUSG00000041408	Wapl	ENSMUST00000169910	LM411_R2_t1	4.19	LM411	R2	t1
ENSMUSG00000041415	Dicer1	ENSMUST00000041987	LM411_R2_t1	5.98	LM411	R2	t1
ENSMUSG00000041415	Dicer1	ENSMUST00000222002	LM411_R2_t1	9.94	LM411	R2	t1
ENSMUSG00000041415	Dicer1	ENSMUST00000222528	LM411_R2_t1	13.18	LM411	R2	t1
ENSMUSG00000041488	Stx3	ENSMUST00000069285	LM411_R2_t1	0.22	LM411	R2	t1
ENSMUSG00000041488	Stx3	ENSMUST00000075304	LM411_R2_t1	1.83	LM411	R2	t1
ENSMUSG00000042766	Trim46	ENSMUST00000041022	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000042766	Trim46	ENSMUST00000090924	LM411_R2_t1	1.01	LM411	R2	t1
ENSMUSG00000042766	Trim46	ENSMUST00000107464	LM411_R2_t1	0.47	LM411	R2	t1
ENSMUSG00000042766	Trim46	ENSMUST00000139419	LM411_R2_t1	1.45	LM411	R2	t1
